"","Species","Number","Museum","AP","ML.large","ML.small","Oblique.rt","Oblique.left","ring","Species2"
"1","Hylobates lar",35949,"MCZ",88.1819505,57.6090285,49.9207599,74.0346885,77.5026222,"ring1","Hylobates lar"
"2","Hylobates lar",41469,"MCZ",77.835,58.716,51.48,76.555,76.388,"ring1","Hylobates lar"
"3","Hylobates lar",41449,"MCZ",76.802,61.527,57.321,69.867,72.419,"ring1","Hylobates lar"
"4","Hylobates lar",41477,"MCZ",75.447,52.73,45.079,71.885,69.908,"ring1","Hylobates lar"
"5","Hylobates lar",41506,"MCZ",78.354,49.118,38,70.977,68.494,"ring1","Hylobates lar"
"6","Hylobates lar",41524,"MCZ",68.984,59.01,45.934,65.88,69.961,"ring1","Hylobates lar"
"7","Hylobates lar",41416,"MCZ",75.426,57.725,47.029,72.841,74.503,"ring1","Hylobates lar"
"8","Hylobates lar",41500,"MCZ",78.148,52.988,76.763,75.182,74.982,"ring1","Hylobates lar"
"9","Hylobates lar",35943,"MCZ",78.301,60.684,53.456,75.57,72.699,"ring1","Hylobates lar"
"10","Hylobates lar",41412,"MCZ",82.235,59.441,47.387,83.977,81.034,"ring1","Hylobates lar"
"11","Pongo",37363,"MCZ",151.657,117.581,90.442,144.28,146.951,"ring1","Pongo"
"12","Pongo",5195,"MCZ",149.543,121.826,90.79,152.495,145.856,"ring1","Pongo"
"13","Pongo",1055,"CMNH",136.529,112.126,89.58,136.229,136.529,"ring1","Pongo"
"14","Pongo",1030,"CMNH",139.749,116.437,100.063,139.637,137.051,"ring1","Pongo"
"15","Pongo",37365,"MCZ",168.838,128.189,109.314,170.389,156.936,"ring1","Pongo"
"16","Pongo",50958,"MCZ",140.543,101.935,90.798,130.629,131.257,"ring1","Pongo"
"17","Pongo",2583,"CMNH",155.985,97.73,78.456,145.526,144.126,"ring1","Pongo"
"18","Pongo",1677,"AIMZ",163.862,113.247,107.413,161.793,153.698,"ring1","Pongo"
"19","Pongo",1167,"CMNH",117.516,109.423,106.729,118.78,123.735,"ring1","Pongo"
"20","Gorilla",17684,"MCZ",166.234,129.785,107.527,160.281,156.977,"ring1","Gorilla"
"21","Gorilla",2043,"MCZ",150.497,126.14,94.465,149.386,146.91,"ring1","Gorilla"
"22","Gorilla",26850,"MCZ",155.277,123.75,102.794,147.391,152.036,"ring1","Gorilla"
"23","Gorilla",29047,"MCZ",155.864,129.762,86.483,148.543,146.609,"ring1","Gorilla"
"24","Gorilla",38326,"MCZ",162.0703,122.007,108.541,152.059,147.193,"ring1","Gorilla"
"25","Gorilla",1704,"CMNH",157.982,128.51,94.868,153.097,150.819,"ring1","Gorilla"
"26","Gorilla",1897,"CMNH",169.864,123.872,103.895,162.367,159.967,"ring1","Gorilla"
"27","Gorilla",1798,"CMNH",165.61,129.53,103.588,154.563,160.187,"ring1","Gorilla"
"28","Gorilla",1765,"CMNH",166.948,133.653,115.725,172.313,166.572,"ring1","Gorilla"
"29","Pan t. verus",10736,"MCZ",153.091,106.76,86.507,147.728,145.078,"ring1","Pan t."
"30","Pan t.",6244,"MCZ",140.399,102.025,72.006,138.023,139.373,"ring1","Pan t."
"31","Pan t. ellioti",1749,"CMNH",130.768,85.493,66.505,125.226,127.388,"ring1","Pan t."
"32","Pan t.",1755,"CMNH",123.1,106.845,91.733,130.845,127.34,"ring1","Pan t."
